City ID,City,Country,Date/Time,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
5122534,Jamestown,US,1595260173,42.1,-79.24,79.0,64,75,10.29
1056899,Sambava,MG,1595260010,-14.27,50.17,71.89,73,1,17.63
3874787,Punta Arenas,CL,1595260116,-53.15,-70.92,32.0,91,75,4.7
4505215,Amberley,US,1595260572,39.2,-84.43,87.01,65,1,3.36
1503796,Khandagayty,RU,1595260572,50.73,92.05,64.71,63,35,3.04
3443061,Chui,UY,1595260173,-33.7,-53.46,71.56,74,90,8.86
4030556,Rikitea,PF,1595260174,-23.12,-134.97,68.2,59,87,12.93
1639304,Kualakapuas,ID,1595260572,-3.01,114.39,77.0,88,23,3.36
2122605,Okhotsk,RU,1595260573,59.38,143.3,55.98,90,99,2.44
3369157,Cape Town,ZA,1595259924,-33.93,18.42,66.99,55,0,5.82
5855927,Hilo,US,1595260176,19.73,-155.09,75.2,78,90,5.82
5338122,Clovis,US,1595260512,36.83,-119.7,75.99,43,1,5.82
5563839,Fortuna,US,1595260183,40.6,-124.16,55.99,100,90,2.73
2077895,Alice Springs,AU,1595260013,-23.7,133.88,55.4,54,90,8.05
3836992,San Martín,AR,1595260573,-33.08,-68.47,53.6,54,40,5.82
4034551,Faanui,PF,1595260188,-16.48,-151.75,77.07,85,43,23.51
1497210,Novoagansk,RU,1595260574,61.94,76.66,58.89,63,31,12.95
3833367,Ushuaia,AR,1595259979,-54.8,-68.3,26.6,92,20,1.19
3430863,Mar del Plata,AR,1595260115,-38.0,-57.56,53.6,100,90,12.75
3831208,Qaanaaq,GL,1595260173,77.48,-69.36,46.62,77,97,0.54
5880054,Barrow,US,1595259909,71.29,-156.79,35.6,96,90,11.41
321426,Bergama,TR,1595260574,39.12,27.18,89.6,55,4,13.87
4035715,Avarua,CK,1595260174,-21.21,-159.78,75.2,73,100,24.16
57000,Hobyo,SO,1595260204,5.35,48.53,79.09,67,78,29.24
5946820,Edson,CA,1595260376,53.58,-116.44,59.0,72,1,4.7
2206939,Bluff,NZ,1595260187,-46.6,168.33,39.0,83,100,3.0
2013279,Vostok,RU,1595260244,46.49,135.88,59.18,100,100,3.89
3936456,Lima,PE,1595260463,-12.04,-77.03,62.6,72,90,3.36
5847411,Kahului,US,1595260575,20.89,-156.47,78.8,65,1,11.41
1636806,Majene,ID,1595260576,-3.54,118.97,77.07,86,90,9.48
2024626,Dzhebariki-Khaya,RU,1595260576,62.22,135.8,66.54,73,80,4.61
1015776,Bredasdorp,ZA,1595260184,-34.53,20.04,62.6,77,0,6.93
6089245,Norman Wells,CA,1595260196,65.28,-126.83,55.4,93,90,3.36
1842966,Gijang,KR,1595260576,35.24,129.21,75.2,83,75,5.82
3421765,Nanortalik,GL,1595259996,60.14,-45.24,50.27,67,52,3.89
986717,Kruisfontein,ZA,1595260227,-34.0,24.73,56.14,93,0,3.96
1065158,Farafangana,MG,1595260576,-22.82,47.83,66.63,64,74,4.94
2163355,Hobart,AU,1595259939,-42.88,147.33,46.0,75,90,9.17
1819729,Hong Kong,HK,1595260206,22.29,114.16,86.0,83,99,3.0
1791779,Wanning,CN,1595260577,18.8,110.4,81.39,85,100,6.78
4020109,Atuona,PF,1595260181,-9.8,-139.03,79.59,77,17,17.38
2155415,New Norfolk,AU,1595259962,-42.78,147.06,46.0,89,96,2.46
2409215,Mattru,SL,1595260577,7.62,-11.83,77.41,91,100,8.28
3883457,Lebu,CL,1595259926,-37.62,-73.65,52.93,86,100,10.29
1106643,Quatre Cocos,MU,1595260244,-20.21,57.76,70.0,56,75,11.41
921786,Mitsamiouli,KM,1595260578,-11.38,43.28,78.8,65,75,10.29
2449893,Tessalit,ML,1595260578,20.2,1.01,108.03,12,12,10.49
3366880,Hermanus,ZA,1595260197,-34.42,19.23,60.01,75,0,1.99
1082243,Ambilobe,MG,1595260578,-13.2,49.05,69.8,69,49,3.15
1262067,Nalgonda,IN,1595260579,17.05,79.27,85.57,67,100,6.67
2112309,Katsuura,JP,1595260198,35.13,140.3,75.99,88,75,9.17
5166009,Painesville,US,1595260357,41.72,-81.25,82.0,69,75,10.29
1507390,Dikson,RU,1595260187,73.51,80.55,42.31,90,48,11.86
1637001,Biak,ID,1595260190,-0.91,122.88,76.42,83,26,5.17
6050066,La Ronge,CA,1595260191,55.1,-105.28,64.4,82,75,5.82
3372472,Vila Franca do Campo,PT,1595259957,37.72,-25.43,73.4,60,75,9.17
7671223,Kloulklubed,PW,1595260561,7.04,134.26,75.2,94,75,1.81
1529484,Kumul,CN,1595260182,42.8,93.45,91.63,16,99,11.92
6255012,Flinders,AU,1595260174,-34.58,150.86,51.01,62,0,1.99
5106841,Albany,US,1595259929,42.6,-73.97,87.01,50,74,10.16
2520645,Cabra,ES,1595260580,37.47,-4.44,105.01,18,0,1.99
2075265,Busselton,AU,1595260181,-33.65,115.33,48.99,63,100,11.36
1282256,Hithadhoo,MV,1595259929,-0.6,73.08,84.22,79,100,15.14
3893629,Coquimbo,CL,1595260173,-29.95,-71.34,60.8,63,65,2.24
1855540,Naze,JP,1595260194,28.37,129.48,80.6,94,20,3.36
2015306,Tiksi,RU,1595260212,71.69,128.87,47.21,88,100,16.28
6165406,Thompson,CA,1595260179,55.74,-97.86,73.4,49,40,3.36
2122090,Pevek,RU,1595260247,69.7,170.31,45.48,59,0,3.33
105298,Jizan,SA,1595260581,17.33,42.67,93.2,52,40,16.11
2137748,Voh,NC,1595260581,-20.97,164.7,61.21,70,26,2.8
3347019,Mossamedes,AO,1595260581,-15.2,12.15,75.54,46,0,11.63
2173911,Broken Hill,AU,1595260582,-31.95,141.43,48.2,66,5,9.17
3883167,Linares,CL,1595260582,-35.85,-71.6,50.94,94,100,6.06
723559,Snina,SK,1595260582,48.99,22.15,70.0,73,22,1.01
1006984,East London,ZA,1595259961,-33.02,27.91,68.34,42,0,2.1
3403127,Capitão Poço,BR,1595260582,-1.75,-47.06,84.42,77,72,5.64
6201424,Mataura,NZ,1595260182,-46.19,168.86,39.0,83,100,3.0
5367788,Lompoc,US,1595260188,34.64,-120.46,59.0,82,41,6.93
3471451,Arraial do Cabo,BR,1595260176,-22.97,-42.03,82.4,61,0,16.11
3354540,Omaruru,NA,1595260583,-21.43,15.93,72.57,21,0,7.72
1735106,George Town,MY,1595260180,5.41,100.34,78.8,88,40,2.24
3868210,Vilcún,CL,1595260583,-38.65,-72.23,46.0,71,100,6.17
2180815,Tuatapere,NZ,1595260183,-46.13,167.68,39.0,83,99,3.0
3466980,Caravelas,BR,1595260263,-17.71,-39.25,77.77,72,44,8.41
6180550,Whitehorse,CA,1595259933,60.72,-135.05,54.0,87,75,17.22
2126123,Chokurdakh,RU,1595260191,70.63,147.92,63.91,53,90,9.28
5848280,Kapaa,US,1595260178,22.08,-159.32,78.8,78,90,19.46
6170031,Tuktoyaktuk,CA,1595260218,69.45,-133.04,44.6,87,90,13.87
6690296,Saint-Joseph,RE,1595260584,-21.37,55.62,69.8,64,20,17.22
2412408,Nioro,GM,1595260584,13.35,-15.75,89.24,60,93,9.06
4032243,Vaini,TO,1595260188,-21.2,-175.2,71.6,78,40,11.41
2738381,Lata,PT,1595260246,40.16,-8.33,93.0,42,26,7.94
934966,Mhlume,SZ,1595260585,-26.03,31.85,68.0,42,0,4.7
3466704,Castro,BR,1595260190,-24.79,-50.01,70.41,53,0,8.57
3893656,Copiapó,CL,1595260585,-27.37,-70.33,60.8,63,66,6.93
709584,Druzhba,UA,1595260585,52.04,33.95,70.79,71,0,7.14
893485,Chiredzi,ZW,1595260585,-21.05,31.67,63.14,60,1,3.71
2122104,Petropavlovsk-Kamchatskiy,RU,1595260585,53.05,158.65,50.0,100,75,4.92
3355672,Lüderitz,NA,1595260265,-26.65,15.16,80.6,15,0,10.29
988290,Komatipoort,ZA,1595260586,-25.43,31.95,68.0,42,0,4.7
2624653,Argir,FO,1595260586,62.0,-6.77,51.8,87,75,10.29
2128975,Nemuro,JP,1595260586,43.32,145.57,60.24,93,12,4.36
2110227,Butaritari,KI,1595260186,3.07,172.79,82.76,67,99,7.29
2159220,Mackay,AU,1595260586,-21.15,149.2,53.6,93,84,3.36
3466165,Cidreira,BR,1595259989,-30.18,-50.21,74.16,65,1,3.47
1802276,Longyan,CN,1595260587,25.11,117.02,75.74,82,100,1.5
286621,Salalah,OM,1595260262,17.02,54.09,80.6,94,75,9.17
3421719,Narsaq,GL,1595260209,60.92,-46.05,66.2,39,20,3.36
64814,Bandarbeyla,SO,1595259998,9.49,50.81,82.44,55,99,20.92
964432,Port Alfred,ZA,1595259958,-33.59,26.89,61.95,57,0,5.5
2381972,Adrar,MR,1595260004,20.5,-10.07,108.63,11,13,16.75
1494091,Promyshlennaya,RU,1595260588,54.92,85.64,71.6,78,40,4.47
3651438,Santa Elena,EC,1595260588,-2.23,-80.85,73.4,78,40,9.17
3576994,Cockburn Town,TC,1595260100,21.46,-71.14,86.0,70,40,17.22
2264557,Ponta do Sol,PT,1595259925,32.67,-17.1,73.99,60,0,1.66
2017155,Saskylakh,RU,1595260184,71.92,114.08,52.83,61,100,4.7
3652764,Puerto Ayora,EC,1595259960,-0.74,-90.35,71.6,83,75,9.17
4031574,Provideniya,RU,1595260254,64.38,-173.3,46.08,74,72,4.45
4529605,Atoka,US,1595260589,34.4,-96.02,91.4,55,1,8.05
3374333,Praia,CV,1595260589,14.92,-23.51,86.0,62,75,6.93
686090,Asău,RO,1595260183,46.43,26.4,70.0,83,75,14.99
1490256,Talnakh,RU,1595260248,69.49,88.4,51.8,100,40,4.47
475955,Velizh,RU,1595260589,55.61,31.2,68.54,82,99,4.38
5380437,Pacific Grove,US,1595260534,36.62,-121.92,59.0,82,90,3.36
3382160,Cayenne,GF,1595259932,4.93,-52.33,82.4,74,79,8.05
1855342,Nishihara,JP,1595260590,26.18,127.76,84.2,88,20,8.05
1489822,Tegul'det,RU,1595260590,57.31,88.17,62.38,93,28,1.79
6111862,Port Hardy,CA,1595259923,50.7,-127.42,57.2,93,75,3.36
169304,Jablah,SY,1595260590,35.36,35.93,87.8,62,0,9.17
553766,Kamenka,RU,1595260591,51.32,42.77,81.0,37,49,3.0
2070998,Geraldton,AU,1595260264,-28.77,114.6,46.4,81,0,4.7
2191562,Dunedin,NZ,1595260214,-45.87,170.5,48.0,77,100,5.99
3380290,Sinnamary,GF,1595260591,5.38,-52.95,82.94,78,47,7.9
964420,Port Elizabeth,ZA,1595259884,-33.92,25.57,62.6,93,90,9.17
2455517,Kayes,ML,1595260591,14.0,-11.0,93.2,56,75,6.93
2112802,Hasaki,JP,1595260176,35.73,140.83,68.0,100,75,5.82
86049,Jalu,LY,1595260592,29.03,21.55,96.57,18,0,12.19
6167817,Torbay,CA,1595259942,47.67,-52.73,79.0,60,20,16.11
5282297,Bethel,US,1595259928,41.37,-73.41,86.0,66,1,11.41
3448903,São João da Barra,BR,1595260199,-21.64,-41.05,78.8,88,20,6.93
473943,Ves'yegonsk,RU,1595260592,58.66,37.26,65.86,87,100,1.97
2094144,Kerema,PG,1595260592,-7.96,145.78,77.36,89,86,8.88
3985710,Cabo San Lucas,MX,1595259945,22.89,-109.91,91.0,45,5,14.99
4033077,Vaitape,PF,1595260593,-16.52,-151.75,77.86,83,44,23.58
1252797,Yamunanagar,IN,1595260593,30.1,77.28,79.79,74,100,5.08
140463,Birjand,IR,1595260593,32.87,59.22,87.8,10,0,20.8
2071860,Esperance,AU,1595260186,-33.87,121.9,51.8,81,90,5.82
153482,Mkwanga,TZ,1595260594,-7.12,39.21,70.27,84,7,6.42
2108502,Honiara,SB,1595260594,-9.43,159.95,75.2,100,40,3.36
6185377,Yellowknife,CA,1595260128,62.46,-114.35,72.0,72,20,3.36
1645528,Denpasar,ID,1595260537,-8.65,115.22,80.6,83,20,10.29
2036973,Heihe,CN,1595260595,50.24,127.49,62.6,88,0,6.71
3424607,Tasiilaq,GL,1595259927,65.61,-37.64,44.6,81,20,10.29
1489853,Tazovsky,RU,1595259992,67.47,78.7,53.73,62,100,4.23
5905393,Bonavista,CA,1595260595,48.65,-53.11,64.09,72,100,8.7
2644210,Liverpool,GB,1595260303,53.41,-2.98,63.0,51,40,13.87
3728097,Les Cayes,HT,1595260595,18.2,-73.75,86.34,64,64,13.13
3374083,Bathsheba,BB,1595260193,13.22,-59.52,82.4,83,40,20.8
935215,Saint-Philippe,RE,1595260181,-21.36,55.77,69.8,64,20,17.22
342856,Bako,ET,1595260596,5.78,36.57,65.8,84,34,2.13
2455735,Kangaba,ML,1595260596,11.93,-8.42,86.23,64,31,1.74
3459352,Ladário,BR,1595260596,-19.0,-57.6,89.6,33,0,12.75
1253401,Varca,IN,1595260596,15.22,73.92,80.6,100,75,3.36
934649,Cap Malheureux,MU,1595260255,-19.98,57.61,70.0,60,37,5.01
2138555,Poum,NC,1595260597,-20.23,164.02,70.12,60,9,14.72
2126199,Cherskiy,RU,1595259986,68.75,161.3,58.59,54,73,2.57
2512177,Puertollano,ES,1595260597,38.69,-4.11,100.99,12,20,6.93
3423146,Ilulissat,GL,1595260184,69.22,-51.1,59.0,38,40,6.93
1643837,Gorontalo,ID,1595260597,0.54,123.06,74.93,89,66,2.57
3115824,Muros,ES,1595260597,42.78,-9.06,75.99,63,0,18.01
2013465,Verkhoyansk,RU,1595260598,67.54,133.38,64.53,83,0,3.67
3922037,Caranavi,BO,1595260598,-15.82,-67.55,81.37,48,80,2.98
2171099,Codrington,AU,1595260204,-38.27,141.97,49.86,78,77,6.53
3175096,Laas,IT,1595260217,46.62,10.7,75.2,27,40,5.82
2019135,Nizhniy Kuranakh,RU,1595260598,58.84,125.49,62.38,93,100,2.15
2181625,Te Anau,NZ,1595260251,-45.42,167.72,41.5,90,84,2.28
1264976,Leh,IN,1595260261,34.17,77.58,59.45,41,20,4.03
5546220,Saint George,US,1595260140,37.1,-113.58,89.01,20,1,1.83
4036284,Alofi,NU,1595260600,-19.06,-169.92,75.2,100,75,6.93
3388456,São José da Coroa Grande,BR,1595260222,-8.9,-35.15,78.82,72,12,16.26
3137469,Sørland,NO,1595260600,67.67,12.69,59.0,67,40,9.17
1726449,Basco,PH,1595260600,20.45,121.97,85.35,77,2,11.61
1513491,Yangi Marg`ilon,UZ,1595260600,40.43,71.72,80.6,30,40,9.17
2094027,Kieta,PG,1595260243,-6.22,155.63,77.32,79,30,5.08
687726,Zaozyornoye,UA,1595260601,45.16,33.28,76.12,69,47,10.07
4845585,Westport,US,1595260327,41.14,-73.36,90.0,62,1,10.29
515879,Oktyabr'skiy,RU,1595260601,54.48,53.47,66.76,83,4,4.99
4301317,Morehead,US,1595260601,37.27,-87.18,89.6,66,40,4.7
138042,Damāvand,IR,1595260601,35.72,52.06,96.8,12,20,6.93
935214,Saint-Pierre,RE,1595260247,-21.34,55.48,69.8,64,20,17.22
5983720,Iqaluit,CA,1595260175,63.75,-68.51,44.6,100,90,3.36
3412093,Vestmannaeyjar,IS,1595260215,63.44,-20.27,53.6,71,2,11.41
2022773,Khandyga,RU,1595260602,62.67,135.6,68.31,65,57,4.05
2641434,Northam,GB,1595260602,51.03,-4.22,66.99,64,0,8.01
1654379,Pakse,LA,1595260602,15.12,105.78,77.95,87,100,1.54
1714733,Dingle,PH,1595260603,11.0,122.67,77.9,81,30,4.38
237379,Ndélé,CF,1595260603,8.41,20.65,73.06,94,76,4.36
1651103,Atambua,ID,1595260603,-9.11,124.89,67.48,87,2,5.08
2022572,Khatanga,RU,1595259963,71.97,102.5,52.38,71,41,7.27
3628503,San Carlos,VE,1595260603,9.66,-68.58,82.76,75,81,4.72
5557293,Sitka,US,1595260604,57.05,-135.33,57.2,93,90,8.05
3141667,Roald,NO,1595260224,62.58,6.13,57.2,62,40,16.11
6067472,Marystown,CA,1595260604,47.17,-55.15,64.92,83,100,11.21
964712,Plettenberg Bay,ZA,1595260604,-34.05,23.37,59.72,87,0,4.03
4805404,Fairmont,US,1595260264,39.49,-80.14,84.2,62,40,6.93
2272491,Zwedru,LR,1595260604,6.07,-8.13,79.3,87,62,4.52
4513583,Hamilton,US,1595259920,39.18,-84.53,87.01,65,1,3.36
3420846,Qaqortoq,GL,1595260605,60.72,-46.03,66.2,39,20,3.36
1253237,Verāval,IN,1595260605,20.9,70.37,84.36,79,44,11.92
3418910,Upernavik,GL,1595259928,72.79,-56.15,51.39,47,14,6.98
3408368,Acaraú,BR,1595260605,-2.89,-40.12,87.66,54,40,15.3
750735,Beşikdüzü,TR,1595260605,41.05,39.23,78.8,88,75,5.82
1272502,Diu,IN,1595260605,20.71,70.98,84.09,78,52,11.27
1246294,Galle,LK,1595260505,6.04,80.22,79.75,85,97,11.21
1307741,Myitkyina,MM,1595260606,25.38,97.4,73.54,95,100,1.92
3835869,Santiago del Estero,AR,1595260582,-27.8,-64.26,74.05,54,100,11.81
1926054,Saijō,JP,1595260606,33.92,133.18,80.01,80,100,3.33
3893726,Constitución,CL,1595260128,-35.33,-72.42,56.03,80,47,12.68
6137462,Saint-Augustin,CA,1595260607,51.23,-58.65,64.47,77,96,16.69
1268460,Kalas,IN,1595260607,18.17,74.8,78.31,82,100,12.15
1265964,Kotma,IN,1595260607,23.2,81.97,79.65,82,98,4.09
556268,Ostrovnoy,RU,1595260198,68.05,39.51,72.77,56,59,5.19
153955,Micheweni,TZ,1595260607,-4.97,39.83,75.52,77,1,13.62
1835848,Seoul,KR,1595260607,37.57,126.98,73.4,88,90,5.01
2136825,Isangel,VU,1595260246,-19.55,169.27,66.2,93,20,5.82
1174451,Keti Bandar,PK,1595260608,24.14,67.45,86.97,77,100,23.42
3932145,Pisco,PE,1595260189,-13.7,-76.22,62.01,87,90,3.36
2090021,Namatanai,PG,1595260205,-3.67,152.43,79.56,82,57,6.53
3372760,Praia da Vitória,PT,1595260608,38.73,-27.07,75.2,57,75,7.81
1486321,Yar-Sale,RU,1595260608,66.83,70.83,62.37,55,100,3.51
1497132,Novochernorechenskiy,RU,1595260609,56.27,91.08,61.48,92,96,3.33
3372707,Ribeira Grande,PT,1595260191,38.52,-28.7,73.4,64,75,8.05
174448,Abu Kamal,SY,1595260609,34.45,40.92,106.03,7,0,9.66
5882953,Aklavik,CA,1595260212,68.22,-135.01,51.8,66,75,10.25
1106677,Bambous Virieux,MU,1595260175,-20.34,57.76,70.0,56,75,11.41
2065594,Mount Isa,AU,1595260185,-20.73,139.5,62.6,23,78,10.29
2092164,Lorengau,PG,1595260204,-2.02,147.27,81.95,75,59,6.73
546105,Nikolskoye,RU,1595260199,59.7,30.79,77.0,50,20,6.71
2084442,Vanimo,PG,1595260176,-2.67,141.3,78.42,86,92,6.67
2127202,Anadyr,RU,1595260207,64.75,177.48,41.0,86,0,4.47
3155152,Gravdal,NO,1595260610,68.12,13.5,57.2,76,75,6.93
1258338,Ratnagiri,IN,1595260611,16.98,73.3,82.15,83,100,2.39
2522437,Adeje,ES,1595260611,28.12,-16.73,82.0,61,0,29.97
415189,Aden,YE,1595260484,12.78,45.04,89.08,65,52,9.44
3413604,Eyrarbakki,IS,1595260611,63.86,-21.15,53.6,62,20,10.29
3401331,Curaçá,BR,1595260611,-8.99,-39.91,82.81,43,98,17.6
2364079,Sotouboua,TG,1595260612,8.57,0.98,79.61,78,58,5.84
2094342,Kavieng,PG,1595259981,-2.57,150.8,81.63,77,44,8.46
2057087,Kupang,ID,1595260239,-10.17,123.58,72.61,79,1,8.79
2805615,Wurzburg,DE,1595260612,49.79,9.94,82.0,39,40,8.05
463355,Zheleznodorozhnyy,RU,1595260612,55.75,38.0,80.01,56,40,6.71
2027296,Aykhal,RU,1595260207,66.0,111.5,55.4,87,90,8.95
338554,Dubti,ET,1595260613,11.74,41.09,96.85,29,99,20.51
6113406,Prince Rupert,CA,1595260232,54.32,-130.32,57.2,93,97,3.36
3838859,Río Gallegos,AR,1595259946,-51.62,-69.22,26.6,92,20,2.24
2121385,Severo-Kuril'sk,RU,1595260181,50.68,156.12,48.56,88,27,6.08
5354943,Half Moon Bay,US,1595260497,37.46,-122.43,64.99,93,90,3.4
379252,Khartoum,SD,1595260517,15.55,32.53,96.8,28,40,10.29
1277535,Balod,IN,1595260614,20.73,81.2,82.69,76,100,7.63
5924351,Clyde River,CA,1595260195,70.47,-68.59,44.6,93,90,9.17
2126710,Beringovskiy,RU,1595260614,63.05,179.32,43.83,86,0,9.4
519473,Novaya Tavolzhanka,RU,1595260614,50.35,36.83,78.8,39,7,2.24
3470137,Belmonte,BR,1595260614,-15.86,-38.88,77.0,73,75,5.82
1128239,Rūdbār,AF,1595260614,30.15,62.6,95.27,10,0,8.14
2074865,Carnarvon,AU,1595260198,-24.87,113.63,55.4,82,0,6.93
1633419,Padang,ID,1595260615,-0.95,100.35,78.93,80,49,4.81
3861953,Chacabuco,AR,1595260615,-34.64,-60.47,63.0,79,97,4.81
1326105,Falam,MM,1595260615,22.92,93.68,62.87,100,100,3.58
3838583,Rosario,AR,1595260547,-32.95,-60.64,66.99,87,90,9.17
5476913,Los Lunas,US,1595260615,34.81,-106.73,82.0,38,1,5.82
1631637,Pemangkat,ID,1595260616,1.17,108.97,77.27,88,100,4.99
5180119,Berwick,US,1595260616,41.05,-76.23,87.01,55,87,5.99
3702577,Portobelo,PA,1595260616,9.55,-79.65,88.0,74,100,3.0
2063036,Port Lincoln,AU,1595260255,-34.73,135.87,53.04,64,46,5.28
